SG_PARTIDO,DS_TP_DOCUMENTO,TOTAL_TIPO_DECLARDO,#_TIPO_DOCUMENTO,%_TIPO_DOCUMENTO
AVANTE,#NULO#,3077754.49,117,3.272727272727273
AVANTE,BOLETO,148030.96,142,3.972027972027972
AVANTE,CONTRATO,33621.17,25,0.6993006993006993
AVANTE,DOCUMENTO FISCAL,2817093.410000001,691,19.32867132867133
AVANTE,FATURA,713636.3199999996,218,6.0979020979020975
AVANTE,OUTROS,1772994.5899999945,1769,49.48251748251749
AVANTE,RECIBO,2199304.8000000003,613,17.146853146853147
DC,#NULO#,172298.37000000005,95,2.4434156378600824
DC,BOLETO,74204.58,27,0.6944444444444444
DC,CONTRATO,87324.64,41,1.0545267489711936
DC,DOCUMENTO FISCAL,1520955.2899999996,918,23.61111111111111
DC,FATURA,338096.10000000015,382,9.825102880658436
DC,OUTROS,82729.08000000022,1063,27.340534979423868
DC,RECIBO,3071075.900000003,1362,35.03086419753087
DEM,#NULO#,21346920.819999997,460,3.463855421686747
DEM,BOLETO,1087984.1300000006,601,4.525602409638554
DEM,CONTRATO,284446.4200000002,165,1.2424698795180722
DEM,DOCUMENTO FISCAL,14183909.71000003,3255,24.510542168674696
DEM,FATURA,1267929.6899999955,1236,9.30722891566265
DEM,OUTROS,5600496.159999971,5946,44.774096385542165
DEM,RECIBO,8331705.73,1617,12.176204819277109
MDB,#NULO#,48549859.680000015,769,1.93673500226666
MDB,BOLETO,1784532.5199999984,1479,3.7248778522137713
MDB,CONTRATO,2249407.0300000045,356,0.8965899360298192
MDB,DOCUMENTO FISCAL,31645843.659999944,8776,22.1024530297688
MDB,FATURA,4020646.409999987,3592,9.046491714098623
MDB,OUTROS,42461570.920004986,19487,49.07822495340754
MDB,RECIBO,10487375.429999959,5247,13.21462751221478
NOVO,#NULO#,1642811.41,168,1.1150195792128492
NOVO,BOLETO,423786.90000000026,161,1.0685604300789806
NOVO,CONTRATO,25600.16,8,0.0530961704387071
NOVO,DOCUMENTO FISCAL,13042667.140000034,3272,21.716333709431208
NOVO,FATURA,1603204.0000000005,1028,6.8228579013738635
NOVO,OUTROS,1501367.4999999602,8866,58.843830888697156
NOVO,RECIBO,2313528.1100000134,1564,10.38030132076724
PATRI,#NULO#,1706732.28,106,2.9968900197907833
PATRI,BOLETO,89914.74000000002,108,3.0534351145038165
