Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,eigencentrality
adolfo_se,adolfo_se,,0,10,10,0,10,10,11,0.208485,0.24844,0,0,0.020871,0.00002,84,0
DilmaResiste,DilmaResiste,,189,3,192,258,4,262,13,0.147223,0.162345,26181.595346,0.033222,0.000797,0.001177,84,0.044163
sandracantii,sandracantii,,6,0,6,7,0,7,0,0,0,0,0.002134,0,0.000026,84,0.001324
RogerioCorreia_,RogerioCorreia_,,109,1,110,111,1,112,10,0.223822,0.243387,98632.904625,0.021169,0.000045,0.001415,84,0.03294
lolaescreva,lolaescreva,,1721,16,1737,2243,16,2259,11,0.230769,0.28526,546010.346461,0.250121,0.018004,0.01587,486,0.392095
godoy_mag,godoy_mag,,156,4,160,168,4,172,12,0.171946,0.194054,57490.981219,0.029411,0.000052,0.001885,486,0.045882
lulurolim,lulurolim,,157,1,158,157,1,158,1,1,1,922.79902,0.035773,0.001071,0.000578,486,0.035476
tfmagal,tfmagal,,0,13,13,0,14,14,10,0.248911,0.300987,0,0,0.020127,0.00002,445,0
ToniBulhoes,ToniBulhoes,,220,2,222,249,2,251,10,0.274038,0.313994,148466.382296,0.033859,0.00039,0.002028,24,0.053008
DCM_online,DCM_online,,227,0,227,250,0,250,0,0,0,0,0.040681,0,0.001138,84,0.052276
Rembodinho,Rembodinho,,246,1,247,276,1,277,1,1,1,309.62619,0.035043,0.000397,0.001747,24,0.057833
joomikhail,joomikhail,,157,43,200,185,50,235,9,0.291312,0.382311,125836.517,0.029945,0.036247,0.000734,486,0.03735
Rafaelroxo4,Rafaelroxo4,,408,4,412,419,5,424,11,0.223092,0.254704,86519.023147,0.047303,0.00432,0.003132,24,0.093758
luh_roma,luh_roma,,203,0,203,203,0,203,0,0,0,0,0.027635,0,0.0022,24,0.052972
senadorhumberto,senadorhumberto,,924,0,924,935,0,935,0,0,0,0,0.163525,0,0.006595,84,0.206719
FBDemocratico,FBDemocratico,,102,0,102,106,0,106,0,0,0,0,0.014205,0,0.000702,84,0.023046
jandira_feghali,jandira_feghali,,4479,0,4479,5079,0,5079,0,0,0,0,0.847359,0,0.056894,445,1
CarlosZarattini,CarlosZarattini,,506,0,506,519,0,519,0,0,0,0,0.078803,0,0.004316,35,0.112779
ASOUTOOLIVEIRA,ASOUTOOLIVEIRA,,56,0,56,57,0,57,0,0,0,0,0.010859,0,0.00028,486,0.013716
DeputadoFederal,DeputadoFederal,,533,0,533,534,0,534,0,0,0,0,0.096039,0,0.003706,84,0.120383
manuellatb,manuellatb,,0,1,1,0,1,1,1,1,1,0,0,0.011515,0.00002,445,0
OObserv17774336,OObserv17774336,,0,1,1,0,1,1,1,1,1,0,0,0.000023,0.00002,555,0
isentoes2,isentoes2,,2745,0,2745,2745,0,2745,0,0,0,0,0.001677,0,0.039324,555,0.599554
