"","Id","Label","timeset","indegree","outdegree","degree","weighted.indegree","weighted.outdegree","weighted.degree","Eccentricity","closnesscentrality","harmonicclosnesscentrality","betweenesscentrality","Authority","Hub","pageranks","modularity_class","eigencentrality"
"1","jandira_feghali","jandira_feghali",NA,4479,0,4479,5079,0,5079,0,0,0,0,0.847359,0,0.056894,445,1
"2","isentoes2","isentoes2",NA,2745,0,2745,2745,0,2745,0,0,0,0,0.001677,0,0.039324,555,0.599554
"3","lolaescreva","lolaescreva",NA,1721,16,1737,2243,16,2259,11,0.230769,0.28526,546010.346461,0.250121,0.018004,0.01587,486,0.392095
"4","oswaldojor","oswaldojor",NA,1592,0,1592,2037,0,2037,0,0,0,0,0.001979,0,0.020409,555,0.348066
"5","delucca","delucca",NA,1517,0,1517,1520,0,1520,0,0,0,0,0.228335,0,0.01534,462,0.342703
"6","HenriqueFontana","HenriqueFontana",NA,997,0,997,997,0,997,0,0,0,0,0.155699,0,0.007376,84,0.22225
"7","senadorhumberto","senadorhumberto",NA,924,0,924,935,0,935,0,0,0,0,0.163525,0,0.006595,84,0.206719
"8","Bob_Fernandes","Bob_Fernandes",NA,897,0,897,951,0,951,0,0,0,0,0.120311,0,0.010035,35,0.200779
"9","elikatakimoto","elikatakimoto",NA,858,0,858,858,0,858,0,0,0,0,0.120857,0,0.008659,461,0.193231
"10","taoquei1","taoquei1",NA,691,0,691,693,0,693,0,0,0,0,0.000419,0,0.008214,555,0.150935
"11","GugaNoblat","GugaNoblat",NA,635,0,635,635,0,635,0,0,0,0,0.062474,0,0.005737,24,0.143518
"12","erikakokay","erikakokay",NA,593,0,593,593,0,593,0,0,0,0,0.123047,0,0.003556,445,0.133094
"13","DeputadoFederal","DeputadoFederal",NA,533,0,533,534,0,534,0,0,0,0,0.096039,0,0.003706,84,0.120383
"14","marcopevieira","marcopevieira",NA,510,0,510,510,0,510,0,0,0,0,0.060782,0,0.00604,24,0.114035
"15","jordialapreso","jordialapreso",NA,507,0,507,507,0,507,0,0,0,0,0,0,0.008778,178,0.110665
"16","CarlosZarattini","CarlosZarattini",NA,506,0,506,519,0,519,0,0,0,0,0.078803,0,0.004316,35,0.112779
"17","BlogdoNoblat","BlogdoNoblat",NA,451,1,452,476,1,477,1,1,1,2788.561905,0.05623,1.8e-05,0.004577,35,0.100047
"18","Rafaelroxo4","Rafaelroxo4",NA,408,4,412,419,5,424,11,0.223092,0.254704,86519.023147,0.047303,0.00432,0.003132,24,0.093758
"19","hilde_angel","hilde_angel",NA,398,0,398,398,0,398,0,0,0,0,0.067214,0,0.003236,35,0.096384
"20","pabloalboran","pabloalboran",NA,396,0,396,396,0,396,0,0,0,0,0,0,0.006867,124,0.086471
