SG_PARTIDO,VR_DOCUMENTO
AVANTE,10762435.73999981
DC,5346683.9599999115
DEM,52103392.660001904
MDB,141199235.64998373
NOVO,20552965.21999983
PATRI,8727721.929999959
PCB,165094.53999999986
PCDOB,26075619.97999994
PCO,1181982.6499999994
PDT,52852545.02000218
PHS,10868898.449999882
PL,48341199.170002475
PMB,963725.4000000006
PMN,4508310.350000012
PODE,10461940.030000024
PP,59178479.860002086
PPL,2791312.139999999
PPS,17391623.850000195
PROS,26957798.120000176
PRP,8447707.279999975
PRTB,6059612.760000077
PSB,92933349.82999913
PSC,24594327.63999987
PSD,77806893.02999964
PSDB,139188680.44000226
PSL,9735702.420000164
PSOL,24341225.6399992
PSTU,4160321.750000037
PT,202106324.13997388
PTB,64864381.63000116
PTC,5845567.680000014
PV,24216408.260000303
REDE,8288662.660000105
REPUBLICANOS,95175434.15000361
SDD,36543553.250001
